Altium Designer Pick and Place Locations
D:\Documents\School\Waterloop\electrical-BMS\master_board\Project Outputs for master_board\Pick Place\Pick Place for master_pcb.csv

========================================================================================================================
File Design Information:

Date:       22-12-21
Time:       00:25
Revision:   f7dd337601596de2d9a98d69b4e6db16b29b4b7f
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"P10","B2B-XH","88.0110mm","32.6190mm","88.0110mm","31.3690mm","88.0110mm","31.3690mm","TopLayer","90","EXT_CONT_1"
"P11","B2B-XH","88.0110mm","24.4910mm","88.0110mm","23.2410mm","88.0110mm","23.2410mm","TopLayer","90","EXT_CONT_2"
"R49","0603_-_Resistor","84.4550mm","32.8930mm","84.4550mm","32.8930mm","84.4550mm","32.0680mm","TopLayer","90","1%"
"R46","0603_-_Resistor","84.4550mm","26.6700mm","84.4550mm","26.6700mm","84.4550mm","27.4950mm","TopLayer","270","1%"
"P9","B2B-XH","81.1530mm","44.6840mm","81.1530mm","43.4340mm","81.1530mm","43.4340mm","TopLayer","90","CONT_CTRL_2"
"R48","0603_-_Resistor","79.3750mm","59.3090mm","79.3750mm","59.3090mm","79.3750mm","60.1340mm","TopLayer","270","Resistor"
"D15","0805_-_Resistor","79.3750mm","56.1340mm","79.3750mm","56.1340mm","79.3750mm","57.1340mm","TopLayer","270","LED"
"R40","2512_-_RESISTOR","75.6920mm","52.5263mm","75.6920mm","52.5263mm","75.6920mm","50.4513mm","TopLayer","90","Resistor"
"R39","2512_-_RESISTOR","75.6920mm","60.4305mm","75.6920mm","60.4305mm","75.6920mm","58.3555mm","TopLayer","90","Resistor"
"P4","B2B-XH","74.8030mm","36.6593mm","74.8030mm","35.4093mm","74.8030mm","35.4093mm","TopLayer","90","EXT-LED"
"P3","B2B-XH","74.8030mm","44.6066mm","74.8030mm","43.3566mm","74.8030mm","43.3566mm","TopLayer","90","CONT_CTRL_1"
"D14","SOD123_-_DIODE","73.9140mm","27.9400mm","73.9140mm","27.9400mm","75.5890mm","27.9400mm","TopLayer","180","TVS"
"R42","0603_-_Resistor","73.6600mm","20.8280mm","73.6600mm","20.8280mm","72.8350mm","20.8280mm","TopLayer","0","1%"
"P2","HDR1X6","73.1643mm","8.4088mm","73.1643mm","14.7588mm","73.1643mm","14.7588mm","TopLayer","270","1x6 Header"
"D6","SOD123_-_DIODE","72.5349mm","23.8426mm","72.5349mm","23.8426mm","74.2099mm","23.8426mm","TopLayer","180","TVS"
"D16","0805_-_Resistor","70.0880mm","20.0660mm","70.0880mm","20.0660mm","69.0880mm","20.0660mm","TopLayer","0","LED"
"D12","SOD123_-_DIODE","69.3420mm","4.5960mm","69.3420mm","4.5960mm","69.3420mm","6.2710mm","TopLayer","270","TVS"
"R30","0603_-_Resistor","69.3420mm","25.5270mm","69.3420mm","25.5270mm","69.3420mm","26.3520mm","TopLayer","270","5%"
"D9","SOD123_-_DIODE","69.1910mm","8.2003mm","69.1910mm","8.2003mm","70.8660mm","8.2003mm","TopLayer","180","TVS"
"D4","SOD123_-_DIODE","68.9610mm","31.4960mm","68.9610mm","31.4960mm","70.6360mm","31.4960mm","TopLayer","180","TVS"
"R7","0603_-_Resistor","68.7070mm","35.6023mm","68.7070mm","35.6023mm","68.7070mm","36.4273mm","TopLayer","270","5%"
"D10","SOD123_-_DIODE","68.3500mm","13.8430mm","68.3500mm","13.8430mm","66.6750mm","13.8430mm","TopLayer","0","TVS"
"R47","0603_-_Resistor","67.7540mm","28.9560mm","67.7540mm","28.9560mm","68.5790mm","28.9560mm","TopLayer","180","5%"
"P5","B3B-XH","66.9323mm","40.7953mm","64.4323mm","40.7953mm","64.4323mm","40.7953mm","TopLayer","0","IMD"
"Q2","SC70/SOT323","66.9290mm","25.5270mm","66.9290mm","25.5270mm","67.8790mm","24.8770mm","TopLayer","270","NVS4409NT1G"
"Q1","SC70/SOT323","66.1670mm","35.6870mm","66.1670mm","35.6870mm","67.1170mm","35.0370mm","TopLayer","270","NVS4409NT1G"
"R5","0603_-_Resistor","66.0368mm","8.6360mm","66.0368mm","8.6360mm","66.0368mm","7.8110mm","TopLayer","90","1%"
